taxpayer_id,asset_id,legal_owner,beneficial_owner,trustee,trustor,ownership_share,tax_obligor,taxpayer_evidence,public_reit_qualified,qualifying_subsidiary_reit,purpose_business_use,separation_tax_eligible,separation_tax_reason,tax_classification,assessment_date_ownership_verified,nationwide_land_aggregation_verified,property_tax_credit,property_tax_credit_source_url,manual_review_flag,source_url,source_page,validation_status,source_type,source_document_name,source_document_date,source_quote_or_evidence,retrieved_at,source_hash,source_reliability,reviewer_status
TP-95f462aa61f6,365550-ESR-011,nan,ESR켄달스퀘어리츠,nan,nan,,,"Icheon Logistics Park 2 / 472-96, Deokpyeong-ro (580-1, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/56dfe3a8-71c7-5717-870b-0716a53a94a1,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Icheon Logistics Park 2 / 472-96, Deokpyeong-ro (580-1, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,828c2442b666b7a3ba314f5ca232738e7885108d102d283ecd22551df7954e9f,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-c45d964dd501,365550-ESR-012,nan,ESR켄달스퀘어리츠,nan,nan,,,"Icheon Logistics Park 3 / 472-67, Deokpyeong-ro (567-46, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/3529c6ad-5d3d-54fe-8182-d30a93a5fc38,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Icheon Logistics Park 3 / 472-67, Deokpyeong-ro (567-46, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,86863783c15cede1f6e0a5768279fa8488ab17272054d836a4a67d16015b78a4,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-42486f7a9dfb,365550-ESR-013,nan,ESR켄달스퀘어리츠,nan,nan,,,"Icheon Logistcs Park 8 / 253-1, Ichi-ri, Majang-myeon, Icheon-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/30a2a033-7bc7-535a-8bac-1e7cd8f7419a,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Icheon Logistcs Park 8 / 253-1, Ichi-ri, Majang-myeon, Icheon-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,2f898c69055946e82dc84c6ca35329bc21ca10c2b0c8b0dbb67543458ad9b9e6,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-f35c0dd6088b,365550-ESR-014,nan,ESR켄달스퀘어리츠,nan,nan,,,"Icheon Logistics Park 7 / 310, Bupil-ri, Daewol-myeon, Icheon-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/a9dc74bc-9d0d-5c5a-829c-451032ac3b1c,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Icheon Logistics Park 7 / 310, Bupil-ri, Daewol-myeon, Icheon-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,6c738fc158547c99a5525eb5cf9eaa1d68e953c78753d5197b4c5ae72c5c507e,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-c301e85c9cde,365550-ESR-015,nan,ESR켄달스퀘어리츠,nan,nan,,,"Pyeongtaek Logistics Park / 1198-5, Baran-ro (2021, Suworam-ri), Seotan-myeon, Pyeongtaek-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/c23cd379-89d7-5a62-8dce-dc2a650a8f82,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Pyeongtaek Logistics Park / 1198-5, Baran-ro (2021, Suworam-ri), Seotan-myeon, Pyeongtaek-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,fa5c57e1d97c7a510ed53d64ed1b37c45ff2b3d41d00048b0376580b89ba94c4,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-b0ecddc79c1d,365550-ESR-016,nan,ESR켄달스퀘어리츠,nan,nan,,,"Anseong Logistics Park 1 / 35, Nokbae-gil (35-4, Jangneung-ri), Juksan-myeon, Anseong-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/f54f2f9d-1c52-5914-81f7-a1e2de3245b5,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Anseong Logistics Park 1 / 35, Nokbae-gil (35-4, Jangneung-ri), Juksan-myeon, Anseong-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,2fcc83bec4fabd1b208f11b56fadec8a4703b58580580bd71a6c3e681af788f8,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-8edaf38e7112,365550-ESR-017,nan,ESR켄달스퀘어리츠,nan,nan,,,"Anseong Logistics Park 2 / 915, Chilgok-ri, Wongok-myeon, Anseong-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/ad484970-51a8-5715-86f9-c40020910b29,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Anseong Logistics Park 2 / 915, Chilgok-ri, Wongok-myeon, Anseong-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,94a1bda0f7089c306c927a54223097efa3941bc064644f67a2b78667b9386f09,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-2d34d3889869,365550-ESR-018,nan,ESR켄달스퀘어리츠,nan,nan,,,"Anseong Logistics Park 3 / 23-10, Neunggukri, Iljuk-myeon, Anseong-si, Gyeonggi-do",undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/62c74be3-cc12-5178-8139-3129a860bb84,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,"Anseong Logistics Park 3 / 23-10, Neunggukri, Iljuk-myeon, Anseong-si, Gyeonggi-do",2026-07-15T05:46:59.489143+00:00,0770b28215f4e0e96a52dc5037b25b9d98d87855a1b51727925ebd4789ca594f,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-94d699294842,365550-ESR-019,nan,ESR켄달스퀘어리츠,nan,nan,,,Anseong Logistics Park 4,undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/c02a0753-1154-5194-8637-719a18cf82ea,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,Anseong Logistics Park 4,2026-07-15T05:46:59.489143+00:00,3c146300a75135ef7b82ba77a450f5fd711213d3409cd456917aac24e79be270,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-bf1f8097e308,365550-ESR-020,nan,ESR켄달스퀘어리츠,nan,nan,,,Gimhae Logistics Park 1,undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/119ff6e9-9dd2-5693-845e-a35320871edb,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,Gimhae Logistics Park 1,2026-07-15T05:46:59.489143+00:00,cc7ac69a5149e2ce5f99d225b0d9b69fcd990c9b1aa9f15d6b6ec4787e677650,tier_1_official_reit_website,legal_owner_and_taxpayer_open
TP-e322d62a2d54,365550-ESR-021,nan,ESR켄달스퀘어리츠,nan,nan,,,Gimhae Logistics Park 2,undetermined,undetermined,undetermined,undetermined,상장 사실만으로 공모리츠 목적사업용 토지 분리과세를 확정하지 않음,undetermined,False,False,,,True,https://www.esrks-reit.com/en/portfolio/map/bf8ce01a-e1a8-5da8-8ace-c66a9ded3ae0,HTML meta description,manual_review_required,official_reit_website,Portfolio Asset Detail,nan,Gimhae Logistics Park 2,2026-07-15T05:46:59.489143+00:00,074056e9b7005f1400d91c109d313c4e8eff1bbc5c5a6f872c024f02761605e9,tier_1_official_reit_website,legal_owner_and_taxpayer_open
